"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT06","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-05-06","3.80","0.00","0.0","0.0",,"66","56","   70","   70","14.1","21.9",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-05-07","2.01","0.00","0.0","0.0",,"77","54","  160","  180","10.1","16.1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-05-08","1.79","0.00","0.0","0.0",,"74","53","  170","  160","8.1","14.1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-05-09","2.24","0.00","0.0","0.0",,"77","54","  150","  150","10.1","18.1","    1",,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-05-10","2.68","0.25","0.0","0.0",,"66","54","  180","  180","8.9","17.0","    1",,"    1",,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-05-11","3.58","0.00","0.0","0.0",,"73","60","  310","  310","13.0","19.0",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-05-12","3.58","0.22","0.0","0.0",,"63","51","  350","  340","12.1","17.0","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-05-13","2.46","0.10","0.0","0.0",,"54","52","   70","  110","10.1","14.1","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-05-14","1.34","0.03","0.0","0.0",,"71","52","  150","  150","8.9","13.0","    1",,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-05-15","2.68","0.58","0.0","0.0",,"88","61","  300","  290","15.0","30.0","    1",,"    1",,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-05-16","2.46","0.34","0.0","0.0",,"64","56","  110","  110","8.9","15.0","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-05-17","1.12","0.22","0.0","0.0",,"71","56","  250","  250","8.1","10.1","    1",,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-05-18","5.82","0.00","0.0","0.0",,"67","56","   70","   70","16.1","25.1","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-05-19","4.03","0.65","0.0","0.0",,"56","49","   70","   70","14.1","21.9","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-05-20","3.80","0.00","0.0","0.0",,"81","56","  260","  260","13.0","21.0","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-05-21","2.46","0.00","0.0","0.0",,"79","58","  240","  240","10.1","17.0",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-05-22","0.89","0.29","0.0","0.0",,"68","55","  160","  160","8.9","15.0","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-05-23","2.46","0.29","0.0","0.0",,"81","59","  300","  290","8.9","15.0","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-05-24","2.91","0.00","0.0","0.0",,"83","63","  240","  260","12.1","21.0",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-05-25","5.14","0.00","0.0","0.0",,"86","65","  260","  260","14.1","27.1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-05-26","2.01","0.00","0.0","0.0",,"89","72","  250","  240","14.1","19.9",,,"    1",,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-05-27","8.28","0.44","0.0","0.0",,"80","56","   70","   70","16.1","27.1","    1",,"    1",,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-05-28","1.79","0.00","0.0","0.0",,"69","56","   70","   70","8.9","14.1",,,,,
